id,name,brand,category_id,price,original_price,discount_percentage,rating,rating_count,color,delivery_days,occasion,season,material,popularity_score
31,CloudGlide Retro Minimalist Leather Sneakers,SoleCraft Co.,3,3499.00,6499.00,46,4.7,820,White,2,Casual,All Season,Full Grain Italian Leather,99.0
11,CloudGlide Retro Minimalist Leather Sneakers,SoleCraft Co.,3,3499.00,6499.00,46,4.7,820,White,2,Casual,All Season,Full Grain Italian Leather,99.0
38,SoleCraft Co. Bespoke Charcoal Blazers & Jackets,SoleCraft Co.,1,2403.00,6008.00,60,4.0,345,Charcoal,2,Formal,All Season,100% Cotton,98.9
83,SoleCraft Co. Vintage Red Trousers & Jeans,SoleCraft Co.,1,2206.00,2942.00,25,4.2,800,Red,3,Sports,All Season,Rayon Chiffon,98.8
153,Velora Luxe Boho Maroon Trousers & Jeans,Velora Luxe,1,3938.00,5627.00,30,4.7,386,Maroon,3,Sports,Winter,Mulberry Silk,98.6
124,Saffron Studio Relaxed Fit Burgundy Formal Shirts,Saffron Studio,2,1664.00,4161.00,60,4.5,945,Burgundy,3,Wedding,Winter,Mulberry Silk,98.6
123,Loom & Weave Structured Red Kurtas & Suits,Loom & Weave,1,2794.00,4299.00,35,4.7,320,Red,5,Sports,Summer,100% Cotton,98.5
74,Noir Paris Artisanal White Jackets & Hoodies,Noir Paris,2,3712.00,4950.00,25,4.5,912,White,2,Loungewear,Winter,100% Cotton,98.4
125,Loom & Weave Textured Lavender Running & Training Shoes,Loom & Weave,3,1914.00,3481.00,45,3.9,541,Lavender,3,Casual,All Season,Merino Wool,98.2
151,Saffron Studio Textured Charcoal Serums & Skincare,Saffron Studio,4,2388.00,3675.00,35,4.7,806,Charcoal,4,Party,Summer,Velvet Blend,98.1
37,Sapphire Crystal Chronograph Rose Gold Watch,Aethel Modern,5,6999.00,12999.00,46,4.9,380,Rose Gold,2,Formal,All Season,316L Stainless Steel & Sapphire Crystal,98.0
17,Sapphire Crystal Chronograph Rose Gold Watch,Aethel Modern,5,6999.00,12999.00,46,4.9,380,Rose Gold,2,Formal,All Season,316L Stainless Steel & Sapphire Crystal,98.0
22,Midnight Black Satin Evening Slip Dress,Noir Paris,1,3499.00,5999.00,41,4.8,512,Black,3,Party,All Season,Mulberry Satin,98.0
2,Midnight Black Satin Evening Slip Dress,Noir Paris,1,3499.00,5999.00,41,4.8,512,Black,3,Party,All Season,Mulberry Satin,98.0
126,Noir Paris Structured Pink Fragrances & Perfumes,Noir Paris,4,1668.00,2781.00,40,4.5,648,Pink,3,Formal,Summer,Merino Wool,97.9
169,Velora Luxe Minimalist Burgundy Jeans & Chinos,Velora Luxe,2,3152.00,3940.00,20,4.8,219,Burgundy,2,Loungewear,All Season,Rayon Chiffon,97.7
141,Urban Thread Structured Emerald Face Makeup & Blush,Urban Thread,4,577.00,1155.00,50,4.4,500,Emerald,2,Party,All Season,100% Cotton,97.6
100,Noir Paris Relaxed Fit Maroon Heels & Pumps,Noir Paris,3,1906.00,2933.00,35,4.3,459,Maroon,3,Formal,Winter,Merino Wool,97.6
127,SoleCraft Co. Embroidered Pink Wallets & Belts,SoleCraft Co.,5,3775.00,7550.00,50,4.1,474,Pink,5,Casual,All Season,Mulberry Silk,97.6
39,Noir Paris Boho Burgundy Kurtas,Noir Paris,2,779.00,1558.00,50,4.4,714,Burgundy,2,Formal,Winter,100% Cotton,97.4
207,Verona Street Vintage Lavender Handbags & Totes,Verona Street,5,3577.00,4472.00,20,4.1,911,Lavender,2,Formal,Monsoon,Velvet Blend,97.1
34,Oud Amber Noir Eau De Parfum (100ml),Velora Luxe,4,3899.00,6500.00,40,4.9,640,Gold,2,Party,All Season,Artisanal Essential Oils,97.0
14,Oud Amber Noir Eau De Parfum (100ml),Velora Luxe,4,3899.00,6500.00,40,4.9,640,Gold,2,Party,All Season,Artisanal Essential Oils,97.0
68,Verona Street Artisanal Emerald Kurtas & Suits,Verona Street,1,4030.00,5038.00,20,4.8,403,Emerald,4,Formal,Monsoon,Organic Linen,97.0
70,Velora Luxe Urban Red Running & Training Shoes,Velora Luxe,3,1829.00,4573.00,60,4.6,180,Red,6,Party,All Season,Merino Wool,96.7
65,Velora Luxe Signature Beige Sneakers,Velora Luxe,3,5509.00,6887.00,20,4.7,168,Beige,5,Party,Monsoon,Genuine Leather,96.3
174,Aethel Modern Embroidered Black Kurtas,Aethel Modern,2,4897.00,6997.00,30,4.6,795,Black,3,Party,Monsoon,Organic Linen,96.2
161,Saffron Studio Relaxed Fit Pink Fragrances & Perfumes,Saffron Studio,4,1994.00,3989.00,50,4.2,289,Pink,2,Party,Winter,Merino Wool,96.2
36,Monogram Structured Leather Tote Bag,Noir Paris,5,4999.00,8999.00,44,4.8,430,Beige,3,Formal,All Season,Vegan Saffiano Leather,96.0
16,Monogram Structured Leather Tote Bag,Noir Paris,5,4999.00,8999.00,44,4.8,430,Beige,3,Formal,All Season,Vegan Saffiano Leather,96.0
21,Emerald Floral Chiffon Maxi Dress,Aura & Silk,1,2799.00,4999.00,44,4.6,328,Emerald,2,Party,Summer,Chiffon Silk Blend,96.0
1,Emerald Floral Chiffon Maxi Dress,Aura & Silk,1,2799.00,4999.00,44,4.6,328,Emerald,2,Party,Summer,Chiffon Silk Blend,96.0
102,Saffron Studio Relaxed Fit Burgundy Watches & Chronos,Saffron Studio,5,4958.00,9917.00,50,4.9,650,Burgundy,3,Wedding,All Season,Genuine Leather,95.9
58,Loom & Weave Signature Emerald Tops & Tees,Loom & Weave,1,2195.00,3136.00,30,4.8,918,Emerald,4,Loungewear,Monsoon,Genuine Leather,95.7
78,Saffron Studio Structured Charcoal Sarees,Saffron Studio,1,1847.00,4619.00,60,4.1,790,Charcoal,3,Formal,All Season,Mulberry Silk,95.6
145,Urban Thread Minimalist Beige Sneakers,Urban Thread,3,2853.00,4390.00,35,3.9,177,Beige,4,Casual,Monsoon,Mulberry Silk,95.6
88,Noir Paris Artisanal Red Sarees,Noir Paris,1,3576.00,6502.00,45,4.4,822,Red,6,Formal,All Season,Rayon Chiffon,95.3
18,Verona Street Urban Maroon Trousers & Jeans,Verona Street,1,4180.00,5574.00,25,4.5,313,Maroon,3,Formal,All Season,100% Cotton,95.1
64,Velora Luxe Tailored Black T-Shirts & Polos,Velora Luxe,2,1603.00,4008.00,60,4.3,116,Black,2,Party,Winter,Velvet Blend,95.1
158,Urban Thread Embroidered White Tops & Tees,Urban Thread,1,3024.00,5040.00,40,4.2,116,White,5,Loungewear,All Season,Velvet Blend,95.1
35,Velvet Matte Liquid Lip Duo - Berry & Crimson,Velora Luxe,4,1199.00,1999.00,40,4.7,920,Red,2,Party,All Season,Hyaluronic Acid Infused Matte Pigment,95.0
15,Velvet Matte Liquid Lip Duo - Berry & Crimson,Velora Luxe,4,1199.00,1999.00,40,4.7,920,Red,2,Party,All Season,Hyaluronic Acid Infused Matte Pigment,95.0
26,Oversized Cuban Collar Linen Shirt,Urban Thread,2,1899.00,3299.00,42,4.5,420,Beige,2,Casual,Summer,100% French Linen,95.0
6,Oversized Cuban Collar Linen Shirt,Urban Thread,2,1899.00,3299.00,42,4.5,420,Beige,2,Casual,Summer,100% French Linen,95.0
198,Verona Street Urban Burgundy Blazers & Jackets,Verona Street,1,2235.00,4065.00,45,4.8,94,Burgundy,3,Party,Summer,Merino Wool,94.9
152,Velora Luxe Textured Lavender Handbags & Totes,Velora Luxe,5,2673.00,4860.00,45,4.4,769,Lavender,2,Casual,Winter,Organic Linen,94.8
105,Urban Thread Embroidered Charcoal Heels & Pumps,Urban Thread,3,2550.00,4638.00,45,4.9,769,Charcoal,2,Wedding,Summer,Organic Linen,94.5
23,Pastel Peach Handcrafted Anarkali Kurta Set,Saffron Studio,1,4299.00,7499.00,42,4.7,410,Pink,2,Wedding,All Season,Chanderi Silk with Zari Work,94.5
3,Pastel Peach Handcrafted Anarkali Kurta Set,Saffron Studio,1,4299.00,7499.00,42,4.7,410,Pink,2,Wedding,All Season,Chanderi Silk with Zari Work,94.5
147,Verona Street Textured Navy Wallets & Belts,Verona Street,5,4284.00,5356.00,20,4.5,159,Navy,2,Party,Winter,Genuine Leather,94.5
139,Kritika Ethnics Vintage Pink Formal Shirts,Kritika Ethnics,2,1952.00,4880.00,60,3.8,738,Pink,2,Sports,All Season,Mulberry Silk,94.5
120,Aura & Silk Artisanal Lavender Heels & Pumps,Aura & Silk,3,1928.00,4822.00,60,3.9,340,Lavender,2,Sports,Winter,Mulberry Silk,93.8
52,Velora Luxe Tailored Lavender Handbags & Totes,Velora Luxe,5,3674.00,7349.00,50,4.6,660,Lavender,5,Formal,Winter,100% Cotton,93.7
170,Stitch & Stone Tailored Black Sneakers,Stitch & Stone,3,3233.00,5389.00,40,4.1,793,Black,3,Sports,Winter,Genuine Leather,93.5
227,Noir Paris Tailored Charcoal Fashion Jewellery,Noir Paris,5,5596.00,7995.00,30,4.1,72,Charcoal,2,Wedding,All Season,Selvedge Denim,93.4
110,SoleCraft Co. Signature Pink Running & Training Shoes,SoleCraft Co.,3,1210.00,3026.00,60,4.4,788,Pink,2,Formal,All Season,Merino Wool,93.2
128,SoleCraft Co. Vintage Red Dresses,SoleCraft Co.,1,4132.00,5904.00,30,3.9,596,Red,2,Loungewear,Winter,Organic Linen,93.0
229,Vibe Republic Tailored Pink Formal Shirts,Vibe Republic,2,1251.00,3129.00,60,4.4,676,Pink,3,Formal,Monsoon,Rayon Chiffon,92.6
135,Velora Luxe Boho Maroon Loafers & Flats,Velora Luxe,3,2839.00,4732.00,40,4.2,374,Maroon,4,Casual,Monsoon,Velvet Blend,92.6
138,Noir Paris Embroidered White Tops & Tees,Noir Paris,1,4617.00,6156.00,25,4.1,921,White,2,Party,Monsoon,Mulberry Silk,92.5
92,Saffron Studio Vintage Black Sunglasses,Saffron Studio,5,4320.00,7200.00,40,4.1,520,Black,4,Sports,Summer,Rayon Chiffon,92.4
46,Saffron Studio Urban Pink Serums & Skincare,Saffron Studio,4,2142.00,3895.00,45,4.3,907,Pink,3,Casual,Summer,Mulberry Silk,92.3
237,Verona Street Minimalist Maroon Handbags & Totes,Verona Street,5,5842.00,9738.00,40,4.0,595,Maroon,2,Loungewear,Monsoon,Genuine Leather,92.3
62,Noir Paris Vintage Burgundy Fashion Jewellery,Noir Paris,5,6489.00,8653.00,25,4.6,118,Burgundy,2,Party,Summer,Genuine Leather,92.2
113,Stitch & Stone Artisanal Black Dresses,Stitch & Stone,1,1844.00,3353.00,45,3.8,870,Black,3,Loungewear,Monsoon,100% Cotton,92.1
171,Verona Street Boho Burgundy Face Makeup & Blush,Verona Street,4,1567.00,2613.00,40,4.4,156,Burgundy,3,Loungewear,Summer,Merino Wool,92.0
28,Heavyweight Supima Cotton Crewneck Tee,Vibe Republic,2,999.00,1699.00,41,4.4,650,Black,2,Casual,All Season,240 GSM Supima Cotton,92.0
8,Heavyweight Supima Cotton Crewneck Tee,Vibe Republic,2,999.00,1699.00,41,4.4,650,Black,2,Casual,All Season,240 GSM Supima Cotton,92.0
116,Verona Street Embroidered Lavender Fragrances & Perfumes,Verona Street,4,848.00,2122.00,60,3.9,854,Lavender,6,Loungewear,Monsoon,100% Cotton,92.0
150,SoleCraft Co. Relaxed Fit Olive Running & Training Shoes,SoleCraft Co.,3,1684.00,3062.00,45,3.8,161,Olive,2,Sports,All Season,Velvet Blend,92.0
61,Velora Luxe Signature Lavender Face Makeup & Blush,Velora Luxe,4,1308.00,1635.00,20,4.8,308,Lavender,3,Party,Monsoon,Merino Wool,91.8
164,Aura & Silk Signature Burgundy T-Shirts & Polos,Aura & Silk,2,2029.00,4058.00,50,4.5,816,Burgundy,5,Casual,Winter,Genuine Leather,91.7
241,Aethel Modern Embroidered Beige Face Makeup & Blush,Aethel Modern,4,956.00,1739.00,45,4.7,787,Beige,4,Sports,Summer,Merino Wool,91.1
148,SoleCraft Co. Urban Pink Blazers & Jackets,SoleCraft Co.,1,3531.00,5885.00,40,4.1,466,Pink,3,Loungewear,Summer,Selvedge Denim,91.1
32,Stiletto Pointed-Toe Velvet Pumps,Velora Luxe,3,2999.00,5299.00,43,4.6,230,Red,3,Party,All Season,Plush Suede Velvet,91.0
12,Stiletto Pointed-Toe Velvet Pumps,Velora Luxe,3,2999.00,5299.00,43,4.6,230,Red,3,Party,All Season,Plush Suede Velvet,91.0
240,Vibe Republic Textured Beige Formal Shoes,Vibe Republic,3,5450.00,7786.00,30,3.8,238,Beige,3,Party,Summer,Genuine Leather,90.9
54,Aethel Modern Structured Lavender Casual Shirts,Aethel Modern,2,2435.00,6088.00,60,4.9,725,Lavender,2,Party,All Season,Selvedge Denim,90.8
173,Verona Street Structured Navy Trousers & Jeans,Verona Street,1,999.00,1998.00,50,4.3,491,Navy,6,Party,Winter,Merino Wool,90.7
182,Stitch & Stone Vintage Emerald Fashion Jewellery,Stitch & Stone,5,1604.00,2674.00,40,4.1,659,Emerald,3,Casual,All Season,Selvedge Denim,90.6
76,Aura & Silk Relaxed Fit Navy Face Makeup & Blush,Aura & Silk,4,1743.00,2491.00,30,4.1,512,Navy,3,Party,Summer,Rayon Chiffon,90.2
140,Saffron Studio Structured Black Formal Shoes,Saffron Studio,3,2499.00,4544.00,45,3.9,158,Black,3,Loungewear,Winter,100% Cotton,90.2
49,Velora Luxe Urban Lavender Formal Shirts,Velora Luxe,2,2036.00,3703.00,45,4.8,167,Lavender,2,Party,Winter,Organic Linen,90.1
72,Aura & Silk Minimalist White Handbags & Totes,Aura & Silk,5,3582.00,4478.00,20,4.8,939,White,4,Formal,Monsoon,Organic Linen,90.0
215,Loom & Weave Urban Beige Formal Shoes,Loom & Weave,3,4700.00,9400.00,50,4.8,939,Beige,3,Party,Winter,Genuine Leather,89.8
71,Kritika Ethnics Textured Pink Face Makeup & Blush,Kritika Ethnics,4,869.00,1738.00,50,4.4,230,Pink,3,Formal,Monsoon,Velvet Blend,89.7
245,Kritika Ethnics Embroidered Burgundy Loafers & Flats,Kritika Ethnics,3,5659.00,8707.00,35,4.1,924,Burgundy,2,Wedding,Summer,Rayon Chiffon,89.6
230,Verona Street Bespoke Charcoal Loafers & Flats,Verona Street,3,4304.00,8609.00,50,4.8,217,Charcoal,4,Sports,Monsoon,Selvedge Denim,89.5
19,Verona Street Artisanal Pink T-Shirts & Polos,Verona Street,2,1791.00,3582.00,50,4.9,217,Pink,3,Party,All Season,Genuine Leather,89.4
79,Loom & Weave Textured Lavender Formal Shirts,Loom & Weave,2,3143.00,5715.00,45,4.5,315,Lavender,2,Sports,All Season,Velvet Blend,89.4
33,Classic Hand-Burnished Leather Oxford Brogues,SoleCraft Co.,3,4499.00,7999.00,43,4.8,310,Brown,2,Formal,All Season,Hand-Burnished Calfskin Leather,89.0
13,Classic Hand-Burnished Leather Oxford Brogues,SoleCraft Co.,3,4499.00,7999.00,43,4.8,310,Brown,2,Formal,All Season,Hand-Burnished Calfskin Leather,89.0
25,High-Waist Wide Leg Vintage Denim Trousers,Stitch & Stone,1,2199.00,3999.00,45,4.5,275,Blue,4,Casual,All Season,Rigid Cotton Denim,89.0
5,High-Waist Wide Leg Vintage Denim Trousers,Stitch & Stone,1,2199.00,3999.00,45,4.5,275,Blue,4,Casual,All Season,Rigid Cotton Denim,89.0
104,Stitch & Stone Tailored Black T-Shirts & Polos,Stitch & Stone,2,2686.00,4884.00,45,4.3,620,Black,4,Wedding,Winter,Merino Wool,88.5
228,Kritika Ethnics Boho Beige Dresses,Kritika Ethnics,1,1389.00,3473.00,60,3.9,617,Beige,3,Casual,Winter,Rayon Chiffon,88.4
188,Noir Paris Textured Beige Tops & Tees,Noir Paris,1,1270.00,3175.00,60,4.0,197,Beige,5,Casual,All Season,Velvet Blend,88.2
27,Navy Tailored Egyptian Cotton Oxford Shirt,Loom & Weave,2,2499.00,4299.00,41,4.7,380,Navy,3,Formal,All Season,Giza Egyptian Cotton,88.0
7,Navy Tailored Egyptian Cotton Oxford Shirt,Loom & Weave,2,2499.00,4299.00,41,4.7,380,Navy,3,Formal,All Season,Giza Egyptian Cotton,88.0
166,SoleCraft Co. Relaxed Fit Black Fragrances & Perfumes,SoleCraft Co.,4,1660.00,2214.00,25,4.6,604,Black,2,Sports,Monsoon,Selvedge Denim,87.8
55,Stitch & Stone Urban Emerald Formal Shoes,Stitch & Stone,3,5184.00,6912.00,25,4.4,517,Emerald,6,Sports,Summer,Velvet Blend,87.8
