product_id,product_name,brand,category_name,category_slug,price,original_price,discount_percentage,rating,rating_count,color,delivery_days,occasion,season,material,popularity_score,is_trending
1,Emerald Floral Chiffon Maxi Dress,Aura & Silk,Women,women,2799,4999,44,4.6,328,Emerald,2,Party,Summer,Chiffon Silk Blend,96.0,1
2,Midnight Black Satin Evening Slip Dress,Noir Paris,Women,women,3499,5999,41,4.8,512,Black,3,Party,All Season,Mulberry Satin,98.0,1
3,Pastel Peach Handcrafted Anarkali Kurta Set,Saffron Studio,Women,women,4299,7499,42,4.7,410,Pink,2,Wedding,All Season,Chanderi Silk with Zari Work,94.5,1
4,Ivory Linen Boxy Crop Top,Urban Thread,Women,women,1299,2199,40,4.3,189,White,3,Casual,Summer,100% Pure Organic Linen,82.0,0
5,High-Waist Wide Leg Vintage Denim Trousers,Stitch & Stone,Women,women,2199,3999,45,4.5,275,Blue,4,Casual,All Season,Rigid Cotton Denim,89.0,1
6,Oversized Cuban Collar Linen Shirt,Urban Thread,Men,men,1899,3299,42,4.5,420,Beige,2,Casual,Summer,100% French Linen,95.0,1
7,Navy Tailored Egyptian Cotton Oxford Shirt,Loom & Weave,Men,men,2499,4299,41,4.7,380,Navy,3,Formal,All Season,Giza Egyptian Cotton,88.0,0
8,Heavyweight Supima Cotton Crewneck Tee,Vibe Republic,Men,men,999,1699,41,4.4,650,Black,2,Casual,All Season,240 GSM Supima Cotton,92.0,1
9,Structured Charcoal Wool Blend Blazer,Noir Paris,Men,men,5499,9999,45,4.8,195,Grey,3,Formal,Winter,Fine Merino Wool Blend,86.0,0
10,Slim Tapered Stretch Selvedge Jeans,Stitch & Stone,Men,men,2799,4999,44,4.6,340,Blue,5,Casual,All Season,Japanese Selvedge Denim,87.0,1
11,CloudGlide Retro Minimalist Leather Sneakers,SoleCraft Co.,Footwear,footwear,3499,6499,46,4.7,820,White,2,Casual,All Season,Full Grain Italian Leather,99.0,1
12,Stiletto Pointed-Toe Velvet Pumps,Velora Luxe,Footwear,footwear,2999,5299,43,4.6,230,Red,3,Party,All Season,Plush Suede Velvet,91.0,1
13,Classic Hand-Burnished Leather Oxford Brogues,SoleCraft Co.,Footwear,footwear,4499,7999,43,4.8,310,Brown,2,Formal,All Season,Hand-Burnished Calfskin Leather,89.0,0
14,Oud Amber Noir Eau De Parfum (100ml),Velora Luxe,Beauty,beauty,3899,6500,40,4.9,640,Gold,2,Party,All Season,Artisanal Essential Oils,97.0,1
15,Velvet Matte Liquid Lip Duo - Berry & Crimson,Velora Luxe,Beauty,beauty,1199,1999,40,4.7,920,Red,2,Party,All Season,Hyaluronic Acid Infused Matte Pigment,95.0,1
16,Monogram Structured Leather Tote Bag,Noir Paris,Accessories,accessories,4999,8999,44,4.8,430,Beige,3,Formal,All Season,Vegan Saffiano Leather,96.0,1
17,Sapphire Crystal Chronograph Rose Gold Watch,Aethel Modern,Accessories,accessories,6999,12999,46,4.9,380,Rose Gold,2,Formal,All Season,316L Stainless Steel & Sapphire Crystal,98.0,1
18,Verona Street Urban Maroon Trousers & Jeans,Verona Street,Women,women,4180,5574,25,4.5,313,Maroon,3,Formal,All Season,100% Cotton,95.1,1
19,Verona Street Artisanal Pink T-Shirts & Polos,Verona Street,Men,men,1791,3582,50,4.9,217,Pink,3,Party,All Season,Genuine Leather,89.4,0
20,Noir Paris Minimalist Maroon Formal Shoes,Noir Paris,Footwear,footwear,3294,8237,60,3.9,731,Maroon,4,Party,Summer,Rayon Chiffon,81.6,0
21,Emerald Floral Chiffon Maxi Dress,Aura & Silk,Women,women,2799,4999,44,4.6,328,Emerald,2,Party,Summer,Chiffon Silk Blend,96.0,1
